Date,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Revenue,Discount,Profit,Cost
31/12/2023,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,21,8,22,457,5,289,168
31/12/2023,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",23,9,24,546,6,339,207
31/12/2023,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",25,9,24,588,12,363,225
31/12/2023,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",18,9,24,423,9,261,162
31/12/2023,United States,Ohio,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,495,81,279,216
31/12/2023,United States,Ohio,Clothing,Gloves,"Half-Finger Gloves, L",23,9,24,475,77,268,207
31/12/2023,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",5,13,35,173,2,108,65
31/12/2023,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,470,70,50,420
31/12/2023,Australia,Queensland,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",3,38,50,126,24,12,114
31/12/2023,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,4037,603,1505,2532
31/12/2023,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,3993,597,1489,2504
31/12/2023,France,Nord,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,669,100,249,420
31/12/2023,France,Essonne,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,2345,98,790,1555
31/12/2023,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,2125,318,570,1555
31/12/2023,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,2960,442,794,2166
31/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,LL Road Tire,7,8,21,146,1,90,56
31/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,LL Road Tire,21,8,21,437,4,269,168
31/12/2023,Australia,South Australia,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,16,4,8,8
31/12/2023,Australia,New South Wales,Accessories,Tires and Tubes,HL Road Tire,15,12,33,431,64,251,180
31/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,42,3,24,18
31/12/2023,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,166,44,89,77
31/12/2023,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,15,11,30,356,94,191,165
31/12/2023,Germany,Brandenburg,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,26,0,13,13
31/12/2023,France,Hauts de Seine,Accessories,Tires and Tubes,LL Mountain Tire,4,9,25,93,7,57,36
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,17,1,8,9
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,12,0,6,6
31/12/2023,France,Nord,Accessories,Tires and Tubes,ML Road Tire,23,9,25,500,75,293,207
31/12/2023,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,12,1,4,40,8,28,12
31/12/2023,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,9,1,4,30,6,21,9
31/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,24,1,4,94,2,70,24
31/12/2023,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,25,7,17,8
31/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,58,2,34,24
31/12/2023,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,42,12,15,27
30/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,5,0,3,2
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,267,3,159,108
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,149,1,89,60
30/12/2023,United States,Washington,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,140,40,80,60
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,99,1,59,40
30/12/2023,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,25,5,13,12
30/12/2023,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,26,8,22,566,6,358,208
30/12/2023,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",5,9,24,94,26,49,45
30/12/2023,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",14,13,35,426,64,244,182
30/12/2023,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35,452,73,257,195
30/12/2023,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55,1307,13,803,504
30/12/2023,Germany,Bayern,Accessories,Hydration Packs,Hydration Pack - 70 oz.,15,21,55,817,8,502,315
30/12/2023,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",17,38,50,663,187,17,646
30/12/2023,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,554,11,246,308
30/12/2023,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,918,202,205,713
30/12/2023,France,Seine Saint Denis,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,918,202,205,713
30/12/2023,United States,California,Clothing,Shorts,"Women's Mountain Shorts, L",23,26,70,1578,32,980,598
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,15,13,35,520,5,325,195
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,19,12,33,602,25,374,228
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,19,12,33,602,25,374,228
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,129,1,77,52
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,32,0,24,8
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,26,2,5,125,5,73,52
30/12/2023,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,25,2,5,108,17,58,50
30/12/2023,Australia,Victoria,Accessories,Tires and Tubes,LL Road Tire,4,8,21,66,18,34,32
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,17,1,4,65,3,48,17
30/12/2023,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,2074,310,592,1482
30/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,5,0,3,2
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,267,3,159,108
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,149,1,89,60
30/12/2023,United States,Washington,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,140,40,80,60
30/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,99,1,59,40
30/12/2023,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,25,5,13,12
30/12/2023,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,26,8,22,566,6,358,208
30/12/2023,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",5,9,24,94,26,49,45
30/12/2023,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",14,13,35,426,64,244,182
30/12/2023,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35,452,73,257,195
30/12/2023,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55,1307,13,803,504
30/12/2023,Germany,Bayern,Accessories,Hydration Packs,Hydration Pack - 70 oz.,15,21,55,817,8,502,315
30/12/2023,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",17,38,50,663,187,17,646
30/12/2023,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,554,11,246,308
30/12/2023,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,713,1120,918,202,205,713
30/12/2023,France,Seine Saint Denis,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,918,202,205,713
30/12/2023,United States,California,Clothing,Shorts,"Women's Mountain Shorts, L",23,26,70,1578,32,980,598
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,15,13,35,520,5,325,195
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,19,12,33,602,25,374,228
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,19,12,33,602,25,374,228
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,129,1,77,52
30/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,32,0,24,8
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,26,2,5,125,5,73,52
30/12/2023,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,25,2,5,108,17,58,50
30/12/2023,Australia,Victoria,Accessories,Tires and Tubes,LL Road Tire,4,8,21,66,18,34,32
30/12/2023,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,17,1,4,65,3,48,17
30/12/2023,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,2074,310,592,1482
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,216,9,141,75
29/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,132,3,78,54
29/12/2023,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,117,33,57,60
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,130,5,76,54
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,14,1,8,6
29/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,30,0,18,12
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,144,6,84,60
29/12/2023,United Kingdom,England,Clothing,Caps,AWC Logo Cap,12,7,9,104,4,20,84
29/12/2023,United States,California,Clothing,Caps,AWC Logo Cap,27,7,9,238,5,49,189
29/12/2023,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,29,8,22,555,83,323,232
29/12/2023,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,17,8,22,325,49,189,136
29/12/2023,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,603,132,330,273
29/12/2023,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Red",25,13,35,683,192,358,325
29/12/2023,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35,603,132,330,273
29/12/2023,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,574,126,314,260
29/12/2023,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",7,13,35,235,10,144,91
29/12/2023,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,188,28,20,168
29/12/2023,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,4454,186,1922,2532
29/12/2023,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,1395,306,312,1083
29/12/2023,France,Moselle,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,1971,269,545,1426
29/12/2023,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,10627,107,4114,6513
29/12/2023,Australia,New South Wales,Clothing,Shorts,"Women's Mountain Shorts, M",27,26,70,1644,246,942,702
29/12/2023,France,Nord,Clothing,Shorts,"Women's Mountain Shorts, L",7,26,70,426,64,244,182
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,10,13,35,301,49,171,130
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,8,13,35,241,39,137,104
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,22,2,5,102,8,58,44
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,19,1,11,8
29/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,208,2,131,77
29/12/2023,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire,28,11,29,804,8,496,308
29/12/2023,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,103,27,51,52
29/12/2023,Australia,South Australia,Accessories,Tires and Tubes,ML Mountain Tire,1,11,30,25,5,14,11
29/12/2023,United States,Illinois,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,2,0,1,1
29/12/2023,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire,8,11,29,230,2,142,88
29/12/2023,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,25,1,12,13
29/12/2023,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,59,1,35,24
29/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,14,1,4,55,1,41,14
29/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,1,1,4,4,0,3,1
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,5,0,3,2
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,21,1,4,72,12,51,21
29/12/2023,United States,California,Accessories,Tires and Tubes,LL Road Tire,4,8,21,82,2,50,32
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,216,9,141,75
29/12/2023,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,132,3,78,54
29/12/2023,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,117,33,57,60
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,130,5,76,54
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,14,1,8,6
29/12/2023,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,30,0,18,12
29/12/2023,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,144,6,84,60
29/12/2023,United Kingdom,England,Clothing,Caps,AWC Logo Cap,12,7,9,104,4,20,84
29/12/2023,United States,California,Clothing,Caps,AWC Logo Cap,27,7,9,238,5,49,189
29/12/2023,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,29,8,22,555,83,323,232
29/12/2023,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,17,8,22,325,49,189,136
29/12/2023,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,603,132,330,273
29/12/2023,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Red",25,13,35,683,192,358,325
29/12/2023,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Blue",21,13,35,603,132,330,273
29/12/2023,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,574,126,314,260
29/12/2023,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",7,13,35,235,10,144,91
29/12/2023,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,188,28,20,168
29/12/2023,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,4454,186,1922,2532
29/12/2023,Germany,Saarland,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,1395,306,312,1083
29/12/2023,France,Moselle,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,1971,269,545,1426
29/12/2023,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,10627,107,4114,6513
29/12/2023,Australia,New South Wales,Clothing,Shorts,"Women's Mountain Shorts, M",27,26,70,1644,246,942,702
29/12/2023,France,Nord,Clothing,Shorts,"Women's Mountain Shorts, L",7,26,70,426,64,244,182
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,10,13,35,301,49,171,130
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,8,13,35,241,39,137,104
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,22,2,5,102,8,58,44
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,4,2,5,19,1,11,8
29/12/2023,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,208,2,131,77
29/12/2023,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire,28,11,29,804,8,496,308
29/12/2023,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,103,27,51,52
29/12/2023,Australia,South Australia,Accessories,Tires and Tubes,ML Mountain Tire,1,11,30,25,5,14,11
29/12/2023,United States,Illinois,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,2,0,1,1
29/12/2023,Germany,Bayern,Accessories,Tires and Tubes,Touring Tire,8,11,29,230,2,142,88
29/12/2023,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,25,1,12,13
29/12/2023,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,59,1,35,24
29/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,14,1,4,55,1,41,14
29/12/2023,United States,California,Accessories,Tires and Tubes,Road Tire Tube,1,1,4,4,0,3,1
29/12/2023,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,5,0,3,2
29/12/2023,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,21,1,4,72,12,51,21
29/12/2023,United States,California,Accessories,Tires and Tubes,LL Road Tire,4,8,21,82,2,50,32
28/12/2023,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,1091,22,678,413
28/12/2023,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,23,4,10,225,5,133,92
28/12/2023,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,99,16,53,46
28/12/2023,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,70,20,34,36
28/12/2023,France,Seine Saint Denis,Clothing,Caps,AWC Logo Cap,19,7,9,140,31,7,133
28/12/2023,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,25,8,22,545,5,345,200
28/12/2023,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",9,9,24,214,2,133,81
28/12/2023,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,549,11,341,208
28/12/2023,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,525,140,278,247
28/12/2023,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,520,5,325,195
28/12/2023,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",16,38,50,792,8,184,608
28/12/2023,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",14,38,50,693,7,161,532
28/12/2023,Germany,Saarland,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",25,38,50,1025,225,75,950
28/12/2023,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",21,38,50,1040,10,242,798
28/12/2023,United States,Oregon,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",23,42,54,1068,174,102,966
28/12/2023,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",7,38,50,336,14,70,266
28/12/2023,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",11,38,50,528,22,110,418
28/12/2023,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,1252,2295,6403,482,2647,3756
28/12/2023,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,738,31,318,420
28/12/2023,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,4498,92,1994,2504
28/12/2023,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,554,11,246,308
28/12/2023,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",2,344,540,1058,22,370,688
28/12/2023,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",16,26,70,1109,11,693,416
28/12/2023,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,15,9,25,296,79,161,135
28/12/2023,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,12,9,25,237,63,129,108
28/12/2023,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,33,5,14,19
